record_id,Key,ItemType,PublicationYear,Author,title,PublicationTitle,ISBN,ISSN,DOI,Url,abstract,Date,DateAdded,DateModified,AccessDate,Pages,NumPages,Issue,Volume,NumberOfVolumes,JournalAbbreviation,ShortTitle,Series,SeriesNumber,SeriesText,SeriesTitle,Publisher,Place,Language,Rights,Type,Archive,ArchiveLocation,LibraryCatalog,CallNumber,Extra,Notes,FileAttachments,LinkAttachments,ManualTags,AutomaticTags,Editor,SeriesEditor,Translator,Contributor,AttorneyAgent,BookAuthor,CastMember,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,ReviewedAuthor,Scriptwriter,WordsBy,Guest,Number,Edition,RunningTime,Scale,Medium,ArtworkSize,FilingDate,ApplicationNumber,Assignee,IssuingAuthority,Country,MeetingName,ConferenceName,Court,References,Reporter,LegalStatus,PriorityNumbers,ProgrammingLanguage,Version,System,Code,CodeNumber,Section,Session,Committee,History,LegislativeBody,Abstract_Miss,keep,included,asreview_ranking
85,BWC5ZXXA,journalArticle,2016,"Miljkovic, Dragan; Dalbec, Nathan; Zhang, Lei",Estimating Dynamics of US Demand for Major Fossil Fuels,Energy Economics,,1409883,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1577477&site=ehost-live,"Long-run demand relationships among fossil fuels in the United States were investigated using annual data covering 1918 through 2013. Due to the endogeneity problem among the variables of interest, as indicated by the findings from the Granger Causality test, weak exogeneity test, and Directed Acyclic Graphs, the use of the seemingly unrelated regression (SUR) method was deemed appropriate. The SUR model demonstrated that there was low level of substitutability among fossil fuels, but the small magnitude of the estimated coefficient indicates that natural gas, oil, and coal are more properly classified as independent goods than as substitutes of each other within the US market. Income elasticities for all three fossil fuels indicate that they are normal goods. Several external shocks have significant impact on demand for each of the fossil fuels. Slightly lower explanatory power of oil demand equation may be explained with the fact that the model did not include US oil imports although the US economy has been dependent, to some degree, on imported oil.",2016-03,1/25/2023 12:34,1/29/2023 10:32,,284-291,,,55.0,,Energy Economics,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Energy: Demand and Supply; Prices Q41; Hydrocarbon Resources Q35; Nonrenewable Resources and Conservation: Demand and Supply; Prices Q31; Empirical Studies of Trade F14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
73,ZM8CY63A,journalArticle,1982,"Uri, Noel D.",Energy demand and interfuel substitution in the United Kingdom,Socio-Economic Planning Sciences,,0038-0121,10.1016/0038-0121(82)90033-7,https://www.sciencedirect.com/science/article/pii/0038012182900337,"This paper sets out to examine the demand for energy in the United Kingdom. All energy sources are demonstrated to be substitutable. Coal is the most price responsive with natural gas, oil and electrical energy following. Moreover, when the issue of stability is considered, the suggestion is that the demand for coal, oil, natural gas and electrical energy have remained virtually constant over the past three decades.",  1/1/1982,2/24/2023 12:15,2/24/2023 12:35,2023-02-15 19:53:48,157-162,,4,16.0,,Socio-Economic Planning Sciences,,,,,,,,en,,,,,ScienceDirect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2
87,DINXFMLZ,journalArticle,2009,"Joutz, F",Estimating regional short-run and long-run price elasticities of residential natural gas demand in the US,Available at SSRN 1444927,,,,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1444927,"Demand for natural gas use per residential customer has been declining since the 1980â€™s. Between 1980 and 2001, weather adjusted natural gas use per consumer in the US declined almost 1 percent on an annual basis. Since 2000 the decline for winter only use has accelerated, decreasing 13.1 percent between 2000 and 2006 for the companies analyzed in this paper. To help Local Distribution Companies and Public Service Commissions predict future declines in use per customer natural gas demand, we estimate the price elasticity of natural gas demand by residential households using a sample of data that covers the recent period of large natural gas price increases. We find that the price elasticity of residential natural gas demand has been constant since the 1990s. We also estimate a 1% decline in use per customer induced by the natural turnover of old equipment that is independent of natural gas price increases.",2009,1/26/2023 1:31,2/27/2023 12:14,,,,Query date: 2023-01-25 10:15:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,3
190,RRY66H5S,journalArticle,2012,"Zou, Gao Lu",The Long-Term Relationships among China's Energy Consumption Sources and Adjustments to Its Renewable Energy Policy,Energy Policy,,3014215,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1321528&site=ehost-live,"To reduce its consumption of coal and oil in its primary energy consumption, China promotes the development of renewable energy resources. I have analysed the long-term relationship among China's primary energy consumption sources. Changes in coal consumption lead those in the consumption of other energy sources in the long term. Coal and oil fuels substitute for each other equally. The long-term elasticities of China's coal consumption relative to its hydroelectricity consumption were greater than one and nearly equal during the two sample periods. Therefore, increased hydroelectricity consumption did not imply a reduction in coal consumption. China holds abundant hydroelectricity, wind and, solar energy potential. China must prevent an excessive escalation of its economy and resultant energy demand to realise a meaningful substitution of coal with hydroelectricity. Moreover, China must develop and use wind and solar energy sources. Natural gas can be a good substitute for coal, given its moderate price growth and affordable price levels.",2012-08,1/25/2023 12:37,1/25/2023 12:37,,456-467,,1,47.0,,Energy Policy,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Alternative Energy Sources Q42; Economic Development: Agriculture; Electric Utilities L94; Energy; Environment; Natural Resources; Other Primary Products O13; Energy: Demand and Supply; Prices Q41; Environment P28; Socialist Systems and Transitional Economies: Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,4
18,MXB58N8N,journalArticle,2021,"Burns, K",An investigation into changes in the elasticity of US residential natural gas consumption: A time-varying approach,Energy Economics,,,,https://www.sciencedirect.com/science/article/pii/S0140988321001584,"This study examines whether the responsiveness of U.S. residential natural gas demand to price and income movements has changed in recent times. Using annual data from 1970 to 2016, we apply a conventional aggregate demand model to estimate the own price and income elasticity of natural gas consumption by residential users in the U.S. We estimate this as a static model across alternative sample periods, as well as a stochastic model over the full sample, and reach two main conclusions. First, the own price elasticity of natural gas demand increased sharply in the mid 1980's and has declined steadily since. This finding is consistent with increasing reliance on natural gas by residential consumers and improvements in energy efficiency. Second, the income elasticity of U.S. residential natural gas demand has remained relatively constant and consistently negative. We explain this result by reference to increasing energy efficiency as well as the Environmental Kuznets Curve. The findings have important implications regarding the effectiveness of price and income measures to influence energy consumption and the energy mix.",2021,1/26/2023 1:32,2/26/2023 6:02,,,,Query date: 2023-01-25 12:46:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,5
1,EXUG8YZT,journalArticle,2015,"Krishnamurthy, Chandra Kiran B.; Kristrom, Bengt",A Cross-Country Analysis of Residential Electricity Demand in 11 OECD-Countries,Resource and Energy Economics,,9287655,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1486606&site=ehost-live,"We provide consistent, cross-country estimates of price and income elasticity for households in 11 OECD countries. Using survey data from 2011 on annual consumption of electricity and sample-derived average electricity price, we provide country-specific price elasticity estimates and average income elasticity estimates. For most countries in our sample, we find strong price responsiveness, with elasticities varying (in absolute value) between 0.27 for South Korea and 1.4 for Australia, and higher than 0.5 for most countries. Exploiting the presence of many attitudinal indicators in the dataset, we provide evidence that non-price related factors to affect energy demand; in particular, households' self-reported energy savings behaviour reduces demand between 2 and 4%. In contrast, we find very weak income responsiveness, with income elasticities varying from 0.07 to 0.16 and no evidence for heterogeneity across the countries in our sample. Our results regarding price elasticity are in contrast with those of many existing studies which find low-to-moderate price responsiveness, and adds to a few recent studies indicating more policy space for demand reduction than previously thought.",2015-02,1/25/2023 12:37,1/29/2023 9:59,,68-88,,,39.0,,Resource and Energy Economics,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Economic Development: Agriculture; Electric Utilities L94; Energy; Environment; Natural Resources; Other Primary Products O13; Energy: Demand and Supply; Energy: Government Policy Q48; Prices Q41; Consumer Economics: Empirical Analysis D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,6
105,NIBQPQBP,journalArticle,2018,"Alberini, Anna","Household energy use, energy efficiency, emissions, and behaviors",Energy Efficiency,,1570-6478,10.1007/s12053-017-9597-1,https://doi.org/10.1007/s12053-017-9597-1,"Energy and greenhouse gas (GHG) emissions generally aim to (i) reduce energy use and hence emissions, (ii) steer consumers away from fossil fuels and/or electricity generated from fossil fuels, and (iii) align demand and supply, making sure that the existing infrastructure can handle times of high demand. Policies thus include a variety of pricing schemes, taxes on energy inputs, energy efficiency standards and incentives, and renewables standards and incentives. Ex ante and ex post analyses of their effectiveness thus rely crucially on understanding how consumers respond to pricing schemes, taxes, and other policies. This paper presents an overview of the challenges faced when empirically estimating household energy demand. It describes the difficulties associated with estimating the price elasticity of demand, discussing behavioral responses that may make consumers relatively insensitive to price changes or taxes. It also surveys empirical evidence about non-price policies, such as clearer information or real-time feedback about energy use, and appeal to norms. The paper concludes discussing evidence about the rebound effect, the energy efficiency gap, and how suppliers respond to a variety of policies.",  3/1/2018,2/24/2023 7:52,2/24/2023 8:17,2023-02-15 19:04:47,577-588,,3,11.0,,Energy Efficiency,,,,,,,,en,,,,,Springer Link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,7
75,N5EYZHR6,journalArticle,2017,"Murjani, Ahmadi",Energy Goods Demand in Tabalong Regency: Almost-Ideal Demand System Approach,Jurnal Bina Praja: Journal of Home Affairs Governance,,2503-3360,10.21787/jbp.09.2017.307-319,https://jurnal.kemendagri.go.id/index.php/jbp/article/view/272,"The declining trend of Tabalong Regencyâ€™s economic growth in recent years adversely affected the poverty rate. Further, the recent energy subsidy policy applied by the Indonesian Government has pushed the subsidyâ€™s budget down for some energy goods. Therefore, there should be an awareness regarding the current energy policy and the impact on the poverty particularly in Tabalong Regency. This paper investigates the demand system for the three main energy goods; premium fuel, electricity, and Liquid Petroleum Gas (LPG) in Tabalong Regency of the South Kalimantan Province. Although the same method was previously used on the different topics, this paper uniquely utilizes the combined Linear Approximation and Quadratic Almost-Ideal Demand System on the particular energy policy topic. This paper utilizes the National Social Economics Survey conducted by BPS-Statistics of Tabalong Regency in 2016. The results show that the income elasticity of demand for the top 60% and the bottom 40% of the income groups were positive; however, slight differences could be seen. For the top 60% of the income group, the income elasticities of demand were 0.97, 1.02, and 1.08 for premium fuel, electricity, and LPG respectively. On the other hand, the bottom 40% of the income group had 0.99, 1.07, and 0.91 of income elasticity of demand for premium, electricity, and LPG. The price elasticity of demand for both income groups had negative signs, which is agreeing with the theoretical demand function. These results indicate that the current energy policy should continue with securing the poor households from the possible effect.",11/28/2017,2/21/2023 7:41,2/21/2023 7:41,2023-02-21 19:41:21,307-319,,2,9.0,,,Energy Goods Demand in Tabalong Regency,,,,,,,en,Copyright (c),,,,jurnal.kemendagri.go.id,,Number: 2,,C:\Users\bhem\Zotero\storage\ZXMZI6ED\Murjani - 2017 - Energy Goods Demand in Tabalong Regency Almost-Id.pdf,,,Demand Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,8
158,SLFCJNH3,journalArticle,2020,"Boyd, Gale A.; Lee, Jonathan M.",Relative Effectiveness of Energy Efficiency Programs versus Market Based Climate Policies in the Chemical Industry,Energy Journal,,1956574,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1852078&site=ehost-live,"This paper addresses the relative effectiveness of market vs program based climate policies. We compute the carbon price resulting in an equivalent reduction in energy from programs that eliminate the efficiency gap. A reduced-form stochastic frontier energy demand analysis of plant level electricity and fuel data, from energy-intensive chemical sectors, jointly estimates the distribution of energy efficiency and underlying price elasticities. The analysis obtains a decomposition of efficiency into persistent (PE) and time-varying (TVE) components. Total inefficiency is relatively small in most sectors and price elasticities are relatively high. If all plants performed at the 90th percentile of their efficiency distribution, the reduction in energy is between 4% and 37%. A carbon price averaging around $31.51/ton CO2 would achieve reductions in energy use equivalent to all manufacturing plants making improvements to close the efficiency gap.",2020-05,1/25/2023 12:31,1/25/2023 12:31,,39-61,,3,41.0,,Energy Journal,,,,,,,,,,,eoh,,EBSCOhost,,,,,,Electric Utilities L94; Energy: Demand and Supply; Prices Q41; Climate; Global Warming Q54; Natural Disasters and Their Management; Biotechnology; Chemicals; Drugs; Plastics L65; Rubber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,9
161,ML3GACWS,journalArticle,1982,"Hirst, Eric; Goeltz, Richard; Carney, Janet",Residential energy use: Analysis of disaggregate data,Energy Economics,,0140-9883,10.1016/0140-9883(82)90024-X,https://www.sciencedirect.com/science/article/pii/014098838290024X,"The Energy Information Administration recently published data they collected from the National Interim Energy Consumption Survey (NIECS). NIECS includes detailed information on 4081 individual households: demographic characteristics, energy-related features of the structure, heating equipment and appliances therein, recent conservation actions taken by the household, and fuel consumption and costs for the April 1978â€“March 1979 one-year period. This data set provides a new and valuable resource for analysis. We summarized and analysed the NIECS data on household energy consumption â€” total energy use, electricity use, and use of the primary space heating fuel. The regression equations constructed explain roughly half the variation in energy use among households. These equations contain 10 or fewer independent variables, the most important of which are fuel price, year house was built, floor area, and heating degree days.",  4/1/1982,2/24/2023 10:46,2/24/2023 10:53,2023-02-15 19:21:00,74-82,,2,4.0,,Energy Economics,Residential energy use,,,,,,,en,,,,,ScienceDirect,,,,,,Energy; Data analysis; Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,10
