key,publicationyear,author,title,doi,url,abstractnote
7BH7CQUY,2022,"Talukdar, Ruchira; Pillai, Priya","Countering the Coal Curse through Community Rights: Stopping Coal-Extraction through Forest Rights in Singrauli, Central India",,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1996736&site=ehost-live,
LJKPMMFB,2022,"Goodman, James; Heikkinen, Riikka; Knobloch, Bruce","Not Resource Curse nor Resource Benefit, but 'Resource Negation'? Communities against Coal Seam Gas on the Fossil Frontier",,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1996738&site=ehost-live,
3QVR287Y,2022,"Selemane, Thomas",Mozambique's Coal Implosion Amidst Global Climate Catastrophe,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1996735&site=ehost-live,
32YC5B7L,2022,"MacNeil, Robert; Beauman, Madeleine",A Marshall Plan for Australian Coal Country: An Investment-Led Strategy to Address Resource Dependency and Fight Climate Change,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1996734&site=ehost-live,
9RHA9ZYK,2023,"Bowei Guo; Newbery, David",The Cost of Carbon Leakage: Britain's Carbon Price Support and Cross-border Electricity Trade.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP161240503&site=ehost-live,
Y2FZZGYS,2022,"Zlatinov, Dimitar; Kosev, Nedko; Shalamanov, Stoyan",REGIONAL ELECTRICITY TRADE IN SOUTH EAST EUROPE - FINDINGS FROM A PANEL STRUCTURAL GRAVITY MODEL.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160492549&site=ehost-live,
4C6Y4INK,2022,"Wu, Cheng-Feng; Huang, Shian-Chang; Chiou, Chei-Chang; Chang, Tsangyao; Chen, Yung-Chih",The Relationship Between Economic Growth and Electricity Consumption: Bootstrap ARDL Test with a Fourier Function and Machine Learning Approach.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160141370&site=ehost-live,
THFYG6DB,2022,"Villavicencio, Manuel; Finon, Dominique",The Social Efficiency of Electricity Transition Policies Based on Renewables. Which Ways of Improvement.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160119551&site=ehost-live,
WQXGTPPC,2022,,Economic trends in CESEE: Unexpected resilience to the war in Ukraine but economic cooling is visible on the horizon.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160974432&site=ehost-live,
8M57BHSJ,2022,"Breitenstein, Miriam; Anke, Carl-Philipp; Nguyen, Duc Khuong; Walther, Thomas",Stranded Asset Risk and Political Uncertainty: The Impact of the Coal Phase-Out on the German Coal Industry.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP158686799&site=ehost-live,
9VMIRQSH,2022,"Furnaro, Andrea; Yanguas-Parra, Paola","A Global South Perspective on Stranded Regions: Insights from the Decline of Coal Mining in Cesar, Colombia.",,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160661175&site=ehost-live,
KWUQW8H7,2022,"Aruga, Kentaka",Effects of the Human-Mobility Change during the COVID-19 Pandemic on Electricity Demand.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP159913778&site=ehost-live,
2PNN7IZF,2022,"Ritter, David; Heinemann, Christoph; Bauknecht, Dierk; Winger, Christian; Flachsbarth, Franziska",Model-Based Evaluation of Decentralised Electricity Markets at Different Phases of the German Energy Transition.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160661174&site=ehost-live,
ZCPLMTYM,2022,"Littlechild, Stephen",The Future of Electricity Retailing and How We Get There.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160661165&site=ehost-live,
QAW4N4UC,2022,"Daraeepour, Ali; Larson, Eric D.; Greig, Chris",Investigating Price Formation Enhancements in Non-Convex Electricity Markets as Renewable Generation Grows.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP158686789&site=ehost-live,
CZ7QBHVR,2022,"Thomas, Arthur; Massol, Olivier; Sévi, Benoît",How are Day-ahead Prices Informative for Predicting the Next Day's Consumption of Natural Gas? Evidence from France.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP158686795&site=ehost-live,
ML5DSSR6,2022,"SOHAIL, FOUZIA; FATIMA, AMBREEN",An Assessment of Electricity Tariff Reforms in Karachi City: The City of Light.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160550662&site=ehost-live,
S5HG7GBT,2022,"Klass, Alexandra B.",Evaluating Project Need for Natural Gas Pipelines in an Age of Climate Change: A Spotlight on FERC and the Courts.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP157920874&site=ehost-live,
F8IVTPFT,2022,"Wolak, Frank A.; Hardman, Ian H.",The Future of Electricity Retailing and How We Get There - Reply to Stephen Littlechild by the authors.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160661166&site=ehost-live,
4CEM7I47,2022,"Drzymała, Agnieszka Joanna; Korzeniewska, Ewa",Impact of the Self-Consumption of Electricity on the Profitability of the Investment into a Photovoltaic Installation: The Case of a Company in Poland.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP159207532&site=ehost-live,
LY8BGTYB,2022,Koh Wee Chian,A Reappraisal of Electricity Subsidies and Household Welfare in Brunei Darussalam.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP156791719&site=ehost-live,
3JGCNDLE,2022,"Gautschi, David A.; Gautschi, Heidi C.; Tucci, Christopher L.",What If? Electricity as Money.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP156599549&site=ehost-live,
4HQ6CSMV,2022,"Toto, Roberto V.",Residential Welfare-Loss from Electricity Supply Interruptions in South Africa: CostBenefit Analysis of Distributed Energy Resource Subsidy Programs.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP155476709&site=ehost-live,
7GIUMDDH,2022,"Mignone, Bryan K.; Binsted, Matthew; Brown, Maxwell; Imadi, Darek; McJeon, Haewon; Mowers, Matthew; Showalter, Sharon; Steinberg, Daniel C.; Woodd, Frances",Relative Cost-Effectiveness of Electricity and Transportation Policies as a Means to Reduce CO2 Emissions in the United States: A Multi-Model Assessment .,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP155476704&site=ehost-live,
5IXYJ276,2021,"Gao, Xue; Davidson, Michael; Busby, Joshua; Shearer, Christine; Eisenman, Joshua",The Challenges of Coal Phaseout: Coal Plant Development and Foreign Finance in Indonesia and Vietnam.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP153864739&site=ehost-live,
ZXL553Q8,2022,"ÖZGÜ, Ali Ulvi; KÖK, Dündar",On Modelling Electricity Spot Prices: A Case Study for the Turkish Market.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP155512299&site=ehost-live,
292LF9CW,2019,"Anaya, Karim L.; Pollitt, Michael G.","Storage Business Models: Lessons for Electricity from Cloud Data, Frozen Food and Natural Gas.",,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP138044043&site=ehost-live,
Z68N884E,2022,"Ünal, Serhan",The Current Economy: Electricity Markets and Techno-Economics.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP160119542&site=ehost-live,
YHMQ43V3,2018,"Rosellon, Juan",Electricity (and Natural Gas) Transmission under Transformation--An Introduction,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1703006&site=ehost-live,
NZ7AGD7K,2021,"Haar, Lawrence",The Viability of the UK's Assetless Electricity Retailers,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=1973276&site=ehost-live,
YD2MR8N8,2022,"Webster, Allan; Okafor, Godwin; Barrow, Ciara",Foreign ownership and firm performance in Sub-Saharan Africa.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP161082353&site=ehost-live,
4PGZFAXR,2021,"Carmen Gomez-Rios, Maria del; Galvez-Cruz, Dora",Simulation of Levelized Costs of Electricity Considering Externalities.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP152958564&site=ehost-live,
MLDC9BWW,2021,"Núñez, Héctor M.",Biomethane for Electricity in Mexico: A Prospective Economic Analysis.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP152045838&site=ehost-live,
WPTG4R73,2021,"Joskow, Paul L.",Facilitating Transmission Expansion to Support Efficient Decarbonization of the Electricity Sector.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP152045835&site=ehost-live,
IIYYDGSN,2021,"Jamasb, Tooraj",Incentive Regulation of Electricity and Gas Networks in the UK: From RIIO-1 to RIIO-2.,,https://search.ebscohost.com/login.aspx?direct=true&db=eoh&AN=EP152045834&site=ehost-live,
